date,ticker,strategy,signal,action,price,equity,cash_before,cash_after,shares_before,shares_after,shares,short_sma,long_sma,short_window,long_window
1997-11-13,AAPL,SMA 100/300,BUY,BUY,0.1347091645002365,10000.0,10000.0,0.0,0.0,74233.99912767214,74233.99912767214,0.1481242330372333,0.1481031958510478,100.0,300.0
1998-01-26,AAPL,SMA 100/300,SELL,SELL,0.1454673707485199,10798.624673250386,0.0,10798.624673250386,74233.99912767214,0.0,0.0,0.1392769183963537,0.13931356119612848,100.0,300.0
1998-03-13,AAPL,SMA 100/300,BUY,BUY,0.2030000686645507,10798.624673250386,10798.624673250386,0.0,0.0,53195.177441514425,53195.177441514425,0.13744102962315077,0.1372196522603432,100.0,300.0
2000-10-16,AAPL,SMA 100/300,SELL,SELL,0.3218062222003937,17118.53909173336,0.0,17118.53909173336,53195.177441514425,0.0,0.0,0.7279698979854584,0.7297687718272209,100.0,300.0
2002-02-08,AAPL,SMA 100/300,BUY,BUY,0.3596740663051605,17118.53909173336,17118.53909173336,0.0,0.0,47594.588254826725,47594.588254826725,0.30096481084823606,0.30069334432482714,100.0,300.0
2002-08-14,AAPL,SMA 100/300,SELL,SELL,0.2270602881908416,10806.8409254654,0.0,10806.8409254654,47594.588254826725,0.0,0.0,0.30887975990772243,0.30970797191063565,100.0,300.0
2003-07-15,AAPL,SMA 100/300,BUY,BUY,0.2935172319412231,10806.8409254654,10806.8409254654,0.0,0.0,36818.420690303705,36818.420690303705,0.24517712056636806,0.24489025692145025,100.0,300.0
2008-10-17,AAPL,SMA 100/300,SELL,SELL,2.91571044921875,107351.85393045034,0.0,107351.85393045034,36818.420690303705,0.0,0.0,4.685846126079559,4.708017342090606,100.0,300.0
2009-07-28,AAPL,SMA 100/300,BUY,BUY,4.789667129516602,107351.85393045034,107351.85393045034,0.0,0.0,22413.218085425666,22413.218085425666,3.8139589285850524,3.8121966981887816,100.0,300.0
2013-02-19,AAPL,SMA 100/300,SELL,SELL,13.973241806030272,313185.3159589437,0.0,313185.3159589437,22413.218085425666,0.0,0.0,16.654396333694457,16.686625134150187,100.0,300.0
2013-11-29,AAPL,SMA 100/300,BUY,BUY,17.21590805053711,313185.3159589437,313185.3159589437,0.0,0.0,18191.623412461988,18191.623412461988,15.046382503509522,15.018105891545614,100.0,300.0
2015-11-18,AAPL,SMA 100/300,SELL,SELL,26.396209716796875,480189.90668433864,0.0,480189.90668433864,18191.623412461988,0.0,0.0,26.11028305053711,26.135203043619793,100.0,300.0
2016-10-21,AAPL,SMA 100/300,BUY,BUY,26.6877384185791,480189.90668433864,480189.90668433864,0.0,0.0,17992.90367557135,17992.90367557135,24.069396114349367,24.037975126902264,100.0,300.0
2019-02-19,AAPL,SMA 100/300,SELL,SELL,40.72998428344727,732850.6839196017,0.0,732850.6839196017,17992.90367557135,0.0,0.0,43.60529972076416,43.61377272288004,100.0,300.0
2019-07-03,AAPL,SMA 100/300,BUY,BUY,48.895320892333984,732850.6839196017,732850.6839196017,0.0,0.0,14988.155728302034,14988.155728302034,45.27224063873291,45.262372131347654,100.0,300.0
2022-08-16,AAPL,SMA 100/300,SELL,SELL,169.8605194091797,2545895.9169950555,0.0,2545895.9169950555,14988.155728302034,0.0,0.0,151.3371738433838,151.43876533508302,100.0,300.0
2023-05-15,AAPL,SMA 100/300,BUY,BUY,169.69107055664062,2545895.9169950555,2545895.9169950555,0.0,0.0,15003.122489849984,15003.122489849984,149.75820358276368,149.74847821553547,100.0,300.0
2025-06-12,AAPL,SMA 100/300,SELL,SELL,198.412841796875,2976812.169037742,0.0,2976812.169037742,15003.122489849984,0.0,0.0,214.93725677490235,215.19840896606445,100.0,300.0
2025-10-22,AAPL,SMA 100/300,BUY,BUY,257.72088623046875,2976812.169037742,2976812.169037742,0.0,0.0,11550.527442993916,11550.527442993916,224.6541340637207,224.38757293701173,100.0,300.0
1996-05-17,AAPL,SMA 20/60,BUY,BUY,0.2067417353391647,10000.0,10000.0,0.0,0.0,48369.52724419558,48369.52724419558,0.19329398274421689,0.1932706346114476,20.0,60.0
1996-06-17,AAPL,SMA 20/60,SELL,SELL,0.1768065690994262,8552.050161007444,0.0,8552.050161007444,48369.52724419558,0.0,0.0,0.1886868134140968,0.18978597794969873,20.0,60.0
1996-08-20,AAPL,SMA 20/60,BUY,BUY,0.1758702993392944,8552.050161007444,8552.050161007444,0.0,0.0,48627.02908413527,48627.02908413527,0.16560374870896338,0.16412258669733998,20.0,60.0
1996-12-18,AAPL,SMA 20/60,SELL,SELL,0.1730639338493347,8415.58494470646,0.0,8415.58494470646,48627.02908413527,0.0,0.0,0.1821850351989269,0.18254371310273804,20.0,60.0
1997-04-02,AAPL,SMA 20/60,BUY,BUY,0.1347091645002365,8415.58494470646,8415.58494470646,0.0,0.0,62472.25254441901,62472.25254441901,0.1261730574071407,0.12565864063799376,20.0,60.0
1997-05-19,AAPL,SMA 20/60,SELL,SELL,0.127225786447525,7948.081461112103,0.0,7948.081461112103,62472.25254441901,0.0,0.0,0.13005545400083063,0.13037503398954867,20.0,60.0
