pair,stock_a,stock_b,correlation,window_id,train_start,train_end,test_start,test_end
AAPL-ORCL,AAPL,ORCL,0.326181,W06,1996-01-01,2001-12-31,2002-01-01,2026-12-31
AAPL-MSFT,AAPL,MSFT,0.323337,W06,1996-01-01,2001-12-31,2002-01-01,2026-12-31
MCD-KO,MCD,KO,0.281724,W06,1996-01-01,2001-12-31,2002-01-01,2026-12-31
KO-MSFT,KO,MSFT,0.164377,W06,1996-01-01,2001-12-31,2002-01-01,2026-12-31
MCD-MSFT,MCD,MSFT,0.146196,W06,1996-01-01,2001-12-31,2002-01-01,2026-12-31
MCD-ORCL,MCD,ORCL,0.125668,W06,1996-01-01,2001-12-31,2002-01-01,2026-12-31
MCD-AAPL,MCD,AAPL,0.107372,W06,1996-01-01,2001-12-31,2002-01-01,2026-12-31
KO-ORCL,KO,ORCL,0.095641,W06,1996-01-01,2001-12-31,2002-01-01,2026-12-31
KO-AAPL,KO,AAPL,0.065899,W06,1996-01-01,2001-12-31,2002-01-01,2026-12-31
MSFT-ORCL,MSFT,ORCL,0.460482,W07,1996-01-01,2002-12-31,2003-01-01,2026-12-31
AAPL-MSFT,AAPL,MSFT,0.349919,W07,1996-01-01,2002-12-31,2003-01-01,2026-12-31
AAPL-ORCL,AAPL,ORCL,0.333132,W07,1996-01-01,2002-12-31,2003-01-01,2026-12-31
MCD-KO,MCD,KO,0.271558,W07,1996-01-01,2002-12-31,2003-01-01,2026-12-31
KO-MSFT,KO,MSFT,0.188087,W07,1996-01-01,2002-12-31,2003-01-01,2026-12-31
MCD-MSFT,MCD,MSFT,0.166707,W07,1996-01-01,2002-12-31,2003-01-01,2026-12-31
MCD-ORCL,MCD,ORCL,0.138168,W07,1996-01-01,2002-12-31,2003-01-01,2026-12-31
KO-ORCL,KO,ORCL,0.114114,W07,1996-01-01,2002-12-31,2003-01-01,2026-12-31
MCD-AAPL,MCD,AAPL,0.110968,W07,1996-01-01,2002-12-31,2003-01-01,2026-12-31
KO-AAPL,KO,AAPL,0.084316,W07,1996-01-01,2002-12-31,2003-01-01,2026-12-31
MSFT-ORCL,MSFT,ORCL,0.467447,W08,1996-01-01,2003-12-31,2004-01-01,2026-12-31
AAPL-MSFT,AAPL,MSFT,0.357025,W08,1996-01-01,2003-12-31,2004-01-01,2026-12-31
AAPL-ORCL,AAPL,ORCL,0.336741,W08,1996-01-01,2003-12-31,2004-01-01,2026-12-31
MCD-KO,MCD,KO,0.26444,W08,1996-01-01,2003-12-31,2004-01-01,2026-12-31
KO-MSFT,KO,MSFT,0.194419,W08,1996-01-01,2003-12-31,2004-01-01,2026-12-31
MCD-MSFT,MCD,MSFT,0.176059,W08,1996-01-01,2003-12-31,2004-01-01,2026-12-31
MCD-ORCL,MCD,ORCL,0.143318,W08,1996-01-01,2003-12-31,2004-01-01,2026-12-31
KO-ORCL,KO,ORCL,0.122165,W08,1996-01-01,2003-12-31,2004-01-01,2026-12-31
MCD-AAPL,MCD,AAPL,0.116316,W08,1996-01-01,2003-12-31,2004-01-01,2026-12-31
KO-AAPL,KO,AAPL,0.09288,W08,1996-01-01,2003-12-31,2004-01-01,2026-12-31
MSFT-ORCL,MSFT,ORCL,0.467113,W09,1996-01-01,2004-12-31,2005-01-01,2026-12-31
AAPL-MSFT,AAPL,MSFT,0.351956,W09,1996-01-01,2004-12-31,2005-01-01,2026-12-31
AAPL-ORCL,AAPL,ORCL,0.33145,W09,1996-01-01,2004-12-31,2005-01-01,2026-12-31
MCD-KO,MCD,KO,0.260502,W09,1996-01-01,2004-12-31,2005-01-01,2026-12-31
KO-MSFT,KO,MSFT,0.196301,W09,1996-01-01,2004-12-31,2005-01-01,2026-12-31
MCD-MSFT,MCD,MSFT,0.177941,W09,1996-01-01,2004-12-31,2005-01-01,2026-12-31
MCD-ORCL,MCD,ORCL,0.144198,W09,1996-01-01,2004-12-31,2005-01-01,2026-12-31
MCD-AAPL,MCD,AAPL,0.124224,W09,1996-01-01,2004-12-31,2005-01-01,2026-12-31
KO-ORCL,KO,ORCL,0.12285,W09,1996-01-01,2004-12-31,2005-01-01,2026-12-31
KO-AAPL,KO,AAPL,0.094992,W09,1996-01-01,2004-12-31,2005-01-01,2026-12-31
MSFT-ORCL,MSFT,ORCL,0.464436,W10,1996-01-01,2005-12-31,2006-01-01,2026-12-31
AAPL-MSFT,AAPL,MSFT,0.348775,W10,1996-01-01,2005-12-31,2006-01-01,2026-12-31
AAPL-ORCL,AAPL,ORCL,0.325828,W10,1996-01-01,2005-12-31,2006-01-01,2026-12-31
MCD-KO,MCD,KO,0.25934,W10,1996-01-01,2005-12-31,2006-01-01,2026-12-31
KO-MSFT,KO,MSFT,0.199928,W10,1996-01-01,2005-12-31,2006-01-01,2026-12-31
MCD-MSFT,MCD,MSFT,0.178975,W10,1996-01-01,2005-12-31,2006-01-01,2026-12-31
MCD-ORCL,MCD,ORCL,0.14547,W10,1996-01-01,2005-12-31,2006-01-01,2026-12-31
MCD-AAPL,MCD,AAPL,0.130601,W10,1996-01-01,2005-12-31,2006-01-01,2026-12-31
KO-ORCL,KO,ORCL,0.125651,W10,1996-01-01,2005-12-31,2006-01-01,2026-12-31
KO-AAPL,KO,AAPL,0.098151,W10,1996-01-01,2005-12-31,2006-01-01,2026-12-31
MSFT-ORCL,MSFT,ORCL,0.459935,W11,1996-01-01,2006-12-31,2007-01-01,2026-12-31
AAPL-MSFT,AAPL,MSFT,0.341718,W11,1996-01-01,2006-12-31,2007-01-01,2026-12-31
AAPL-ORCL,AAPL,ORCL,0.322062,W11,1996-01-01,2006-12-31,2007-01-01,2026-12-31
MCD-KO,MCD,KO,0.259143,W11,1996-01-01,2006-12-31,2007-01-01,2026-12-31
KO-MSFT,KO,MSFT,0.201881,W11,1996-01-01,2006-12-31,2007-01-01,2026-12-31
MCD-MSFT,MCD,MSFT,0.178513,W11,1996-01-01,2006-12-31,2007-01-01,2026-12-31
