pair,stock_a,stock_b,correlation,window_id,train_start,train_end,test_start,test_end
KO-ORCL,KO,ORCL,0.231392,W26,1996-01-01,2021-12-31,2022-01-01,2026-12-31
MCD-AAPL,MCD,AAPL,0.227466,W26,1996-01-01,2021-12-31,2022-01-01,2026-12-31
KO-AAPL,KO,AAPL,0.193525,W26,1996-01-01,2021-12-31,2022-01-01,2026-12-31
MSFT-ORCL,MSFT,ORCL,0.498542,W27,1996-01-01,2022-12-31,2023-01-01,2026-12-31
AAPL-MSFT,AAPL,MSFT,0.429947,W27,1996-01-01,2022-12-31,2023-01-01,2026-12-31
AAPL-ORCL,AAPL,ORCL,0.377444,W27,1996-01-01,2022-12-31,2023-01-01,2026-12-31
MCD-KO,MCD,KO,0.369603,W27,1996-01-01,2022-12-31,2023-01-01,2026-12-31
KO-MSFT,KO,MSFT,0.327813,W27,1996-01-01,2022-12-31,2023-01-01,2026-12-31
MCD-MSFT,MCD,MSFT,0.314921,W27,1996-01-01,2022-12-31,2023-01-01,2026-12-31
MCD-ORCL,MCD,ORCL,0.249328,W27,1996-01-01,2022-12-31,2023-01-01,2026-12-31
MCD-AAPL,MCD,AAPL,0.234574,W27,1996-01-01,2022-12-31,2023-01-01,2026-12-31
KO-ORCL,KO,ORCL,0.23456,W27,1996-01-01,2022-12-31,2023-01-01,2026-12-31
KO-AAPL,KO,AAPL,0.202312,W27,1996-01-01,2022-12-31,2023-01-01,2026-12-31
MSFT-ORCL,MSFT,ORCL,0.49622,W28,1996-01-01,2023-12-31,2024-01-01,2026-12-31
AAPL-MSFT,AAPL,MSFT,0.430599,W28,1996-01-01,2023-12-31,2024-01-01,2026-12-31
AAPL-ORCL,AAPL,ORCL,0.37663,W28,1996-01-01,2023-12-31,2024-01-01,2026-12-31
MCD-KO,MCD,KO,0.372295,W28,1996-01-01,2023-12-31,2024-01-01,2026-12-31
KO-MSFT,KO,MSFT,0.324285,W28,1996-01-01,2023-12-31,2024-01-01,2026-12-31
MCD-MSFT,MCD,MSFT,0.312942,W28,1996-01-01,2023-12-31,2024-01-01,2026-12-31
MCD-ORCL,MCD,ORCL,0.248558,W28,1996-01-01,2023-12-31,2024-01-01,2026-12-31
MCD-AAPL,MCD,AAPL,0.235138,W28,1996-01-01,2023-12-31,2024-01-01,2026-12-31
KO-ORCL,KO,ORCL,0.232619,W28,1996-01-01,2023-12-31,2024-01-01,2026-12-31
KO-AAPL,KO,AAPL,0.202302,W28,1996-01-01,2023-12-31,2024-01-01,2026-12-31
MSFT-ORCL,MSFT,ORCL,0.496946,W29,1996-01-01,2024-12-31,2025-01-01,2026-12-31
AAPL-MSFT,AAPL,MSFT,0.431037,W29,1996-01-01,2024-12-31,2025-01-01,2026-12-31
AAPL-ORCL,AAPL,ORCL,0.374459,W29,1996-01-01,2024-12-31,2025-01-01,2026-12-31
MCD-KO,MCD,KO,0.372427,W29,1996-01-01,2024-12-31,2025-01-01,2026-12-31
KO-MSFT,KO,MSFT,0.320495,W29,1996-01-01,2024-12-31,2025-01-01,2026-12-31
MCD-MSFT,MCD,MSFT,0.309732,W29,1996-01-01,2024-12-31,2025-01-01,2026-12-31
MCD-ORCL,MCD,ORCL,0.244235,W29,1996-01-01,2024-12-31,2025-01-01,2026-12-31
MCD-AAPL,MCD,AAPL,0.233975,W29,1996-01-01,2024-12-31,2025-01-01,2026-12-31
KO-ORCL,KO,ORCL,0.227261,W29,1996-01-01,2024-12-31,2025-01-01,2026-12-31
KO-AAPL,KO,AAPL,0.201063,W29,1996-01-01,2024-12-31,2025-01-01,2026-12-31
MSFT-ORCL,MSFT,ORCL,0.488046,W30,1996-01-01,2025-12-31,2026-01-01,2026-12-31
AAPL-MSFT,AAPL,MSFT,0.432166,W30,1996-01-01,2025-12-31,2026-01-01,2026-12-31
MCD-KO,MCD,KO,0.375115,W30,1996-01-01,2025-12-31,2026-01-01,2026-12-31
AAPL-ORCL,AAPL,ORCL,0.362942,W30,1996-01-01,2025-12-31,2026-01-01,2026-12-31
KO-MSFT,KO,MSFT,0.310914,W30,1996-01-01,2025-12-31,2026-01-01,2026-12-31
MCD-MSFT,MCD,MSFT,0.303217,W30,1996-01-01,2025-12-31,2026-01-01,2026-12-31
MCD-AAPL,MCD,AAPL,0.233308,W30,1996-01-01,2025-12-31,2026-01-01,2026-12-31
MCD-ORCL,MCD,ORCL,0.228632,W30,1996-01-01,2025-12-31,2026-01-01,2026-12-31
KO-ORCL,KO,ORCL,0.212533,W30,1996-01-01,2025-12-31,2026-01-01,2026-12-31
KO-AAPL,KO,AAPL,0.199156,W30,1996-01-01,2025-12-31,2026-01-01,2026-12-31
